id, Start Time, End Time, Feeding History ID
137,1480274075897,1480274109999,1537
136,1480195991769,1480196060049,1532
134,1479150141596,1479150272542,1468
133,1478794916720,1478795226580,1442
132,1476790915821,1476791453730,1280
131,1474886840712,1474887363462,1096
130,1474714689966,1474715118291,1080
129,1474616975941,1474617559426,1070
128,1474429174386,1474429206064,1053
127,1474374438358,1474375102022,1046
126,1474025448684,1474025753153,1010
125,1473928691362,1473929059277,1001
124,1473403406098,1473403927030,951
123,1473372247884,1473372296601,949
122,1473372083812,1473372134916,949
121,1473371829423,1473371998445,949
120,1473061507951,1473061964805,921
119,1472989620454,1472989639143,915
118,1472989228476,1472989497956,915
117,1472781578897,1472781830241,899
116,1472699777863,1472700054670,891
115,1472693369564,1472693447010,890
114,1472675243225,1472675255605,888
113,1472291154327,1472292410829,850
112,1472290572908,1472290579683,850
111,1472119577840,1472120261000,832
109,1472033933289,1472035532064,823
108,1472010387699,1472010459841,822
107,1471998043061,1471998541052,820
106,1471987730201,1471988159790,819
105,1471857616293,1471857982237,806
104,1471857168653,1471857187783,806
103,1471796457466,1471796545560,798
102,1471786288382,1471786720962,797
101,1471760790116,1471760797282,795
100,1471760665400,1471760686663,795
99,1471680669080,1471681191080,785
98,1471614535749,1471615288146,778
97,1471604217505,1471604707451,777
96,1471513351217,1471513702291,768
95,1471468651755,1471468675784,764
94,1471351431323,1471351811423,751
93,1471321234268,1471322310583,746
92,1471297961857,1471297984127,743
91,1471261420293,1471261842828,739
90,1471247774060,1471248304916,738
89,1471231590678,1471232177834,737
88,1471231489107,1471231579253,737
87,1471228436280,1471229308378,736
86,1471191408980,1471191421471,732
85,1471180828840,1471181498815,731
84,1471147104958,1471147141507,729
83,1471146448229,1471146997001,729
82,1471128425942,1471128880592,727
81,1471101425908,1471101846129,723
80,1471085130276,1471085149153,720
79,1471084945809,1471085050118,720
78,1471084718467,1471084835002,720
77,1471074629815,1471075094772,719
76,1471027601423,1471027824854,712
75,1470802649657,1470803760869,688
74,1470764650836,1470765409057,682
73,1470735636262,1470735708229,679
72,1470707419550,1470707825604,675
71,1470650286357,1470650496452,669
70,1470590958719,1470592118154,662
69,1470566118540,1470566509792,659
68,1470490145587,1470490676881,649
67,1470471808417,1470472450525,646
66,1470457865297,1470458324037,645
65,1470347986358,1470349797156,632
64,1470325438116,1470325839411,630
63,1470281293734,1470282052850,626
62,1470266817622,1470267154073,624
61,1470265487367,1470266610349,624
60,1470220224991,1470220772325,618
59,1470195393075,1470195485156,615
58,1470169197599,1470169559577,611
57,1470050636863,1470051527024,595
56,1470049636557,1470050328899,595
54,1470010110170,1470010450752,591
53,1469982540470,1469982732654,587
52,1469981456690,1469982103369,587
51,1469970232448,1469970296308,585
50,1469941010122,1469941426630,581
49,1469932644861,1469932758864,580
48,1469918904540,1469919145399,579
47,1469900324842,1469900845822,576
46,1469854303682,1469854354028,570
45,1469804247200,1469804887335,563
44,1469787175709,1469788036946,561
43,1469751329253,1469751750395,557
42,1469741538318,1469742870834,555
41,1469732786911,1469732960432,554
40,1469732189170,1469732271517,554
39,1469726974211,1469727122582,553
38,1469703611737,1469703860124,550
37,1469649926384,1469650281717,541
36,1469624227819,1469625582853,536
35,1469623296416,1469623874062,536
34,1469536865863,1469537265180,522
33,1469514050521,1469514129206,520
32,1469508634927,1469508773736,517
31,1469449359236,1469450842306,506
30,1469410801503,1469411187041,499
29,1469381005848,1469381343989,492
28,1469358159066,1469358797048,489
27,1469357388596,1469357601813,489
26,1469277725441,1469278207980,479
25,1469277076446,1469277446439,479
24,1469148906546,1469148907698,458
23,1469008004070,1469008228645,430
22,1468988122158,1468988177228,425
21,1468931366254,1468932000528,412
20,1468890232362,1468890567478,400
19,1468706836688,1468706843984,358
18,1468705029387,1468705053352,357
17,1468663193635,1468664196179,348
16,1468637140211,1468637142564,344
15,1468230395249,1468231028876,243
14,1468220477472,1468220885803,241
13,1468132342555,1468132481343,223
12,1468042762402,1468043002875,206
11,1468022128369,1468022182043,201
10,1467845897944,1467846817167,165
9,1467795410852,1467795898049,155
8,1467745227315,1467745385725,138
7,1467619247043,1467619292584,109
6,1467540161967,1467540684336,88
5,1467463374111,1467463859016,73
4,1467405666165,1467405913876,58
3,1467349296109,1467349598310,48
2,1467300867725,1467301463317,29
1,1467292045661,1467292213090,26
