Id, Recorded Time, Tooth, Notes
2,19:00:08 01-16-2017,Bottom Left Central Incisor,
4,08:12:41 01-30-2017,Bottom Right Central Incisor,
5,18:17:43 03-02-2017,Upper Right Central Incisor,
6,17:25:24 03-06-2017,Upper Left Central Incisor,
7,17:25:41 03-27-2017,Bottom Left Lateral Incisor,
8,17:25:42 03-27-2017,Bottom Right Lateral Incisor,
9,16:37:51 03-29-2017,Upper Right Lateral Incisor,
11,08:21:51 04-06-2017,Upper Left Lateral Incisor,
12,19:25:28 06-13-2017,Upper Right First Molar,
13,18:31:42 06-29-2017,Upper Left First Molar,
15,18:13:16 07-06-2017,Bottom Right First Molar,
16,18:13:27 07-07-2017,Bottom Left First Molar,
18,18:49:44 08-22-2017,Upper Left Canine,
19,18:49:49 08-22-2017,Upper Right Canine,
17,19:59:01 08-23-2017,Bottom Left Canine,
20,15:43:34 09-03-2017,Bottom Right Canine,
21,06:32:33 12-13-2017,Bottom Left Second Molar,
22,06:32:40 12-13-2017,Bottom Right Second Molar,
